Country,Code,Year,GDP,GDP_growth,CPI,CPI_growth,unemployment_rate,annual_tests_per_thousand,cumulative_tests,annual_vaccinations_per_million,avg_workplace_closure,covid_deaths_per_million
New Caledonia,NCL,2019,9475655324.59495,-4.251514308230144,NA,NA,10.88,NA,NA,NA,NA,NA
New Caledonia,NCL,2020,9454629467.91408,-0.22189343069809092,NA,NA,13.558,NA,NA,NA,NA,0
New Caledonia,NCL,2021,10071349663.8484,6.522944109309277,NA,NA,NA,NA,NA,1240793.8934,NA,978.650784
New Caledonia,NCL,2022,9623318718.31459,-4.448569064601526,NA,NA,10.71,NA,NA,408840.2011866,NA,114.930518
Niger,NER,2019,12889555561.2299,0.40700173584290256,-2.48979265070854,-183.89909623818176,0.531,NA,NA,NA,NA,NA
Niger,NER,2020,13744653103.058,6.634034337073048,2.89819376026277,-216.4030169113885,NA,NA,NA,NA,0.164,3.990205577
Niger,NER,2021,14915002436.069,8.514942677968444,3.83786802840501,32.4227552010547,NA,NA,NA,60625.097280999995,0.299,6.83470869
Niger,NER,2022,15433852714.4935,3.4787140038929,4.22621791916397,10.118896425950194,0.403,NA,10.08,224091.125125053,0,1.580279477
Niger,NER,2023,16698786973.0228,8.195842489422207,3.70097316425831,-12.428245891531404,NA,NA,NA,6517.743208,NA,0.039506987
Niger,NER,2024,19537639288.0633,17.000350502265338,9.07151997725012,145.11174695502257,NA,NA,NA,NA,NA,0
Nigeria,NGA,2019,474517490844.461,12.514424290963744,11.3964223378115,-5.776585584673065,10.695,NA,NA,NA,NA,NA
Nigeria,NGA,2020,432198898467.795,-8.918236565180134,13.2460234276598,16.229664319403287,NA,4.443,4.443,NA,1.265,5.7270661814
Nigeria,NGA,2021,440833635873.827,1.997861965091393,16.9528457221608,27.984415962609315,NA,13.473,17.916,63726.8008232,1.101,7.8511893039
Nigeria,NGA,2022,477403400101.174,8.295592997312433,18.8471877843274,11.174183338967762,3.827,6.824,24.74,410356.78293,0,0.5601590588
Nigeria,NGA,2023,363846332834.618,-23.78639683808083,24.6595502031139,30.839414799166153,3.074,NA,NA,121829.537946,NA,0
Nigeria,NGA,2024,187759703099.801,-48.39587865651379,33.2420966545405,34.80414841606816,3.454,NA,NA,NA,NA,0
Nicaragua,NIC,2019,12699023614.245,-2.504359316350407,5.37628990844127,8.6725702391996915,NA,NA,NA,NA,NA,NA
Nicaragua,NIC,2020,12726422432.4868,0.21575531374761803,3.68181341625574,-31.517580358251244,NA,NA,NA,NA,0,24.51467662
Nicaragua,NIC,2021,14209020361.8508,11.64976203822502,4.92841396948965,33.858330455584415,NA,NA,NA,1151448.244708,0,7.7258376
Nicaragua,NIC,2022,15634572502.2294,10.03272642360346,10.4674244465991,112.3893104637683,NA,NA,28.666,648177.44132,0,4.1600664
Nicaragua,NIC,2023,17805842283.8725,13.887618489942655,8.38765854872534,-19.868936322243837,NA,NA,NA,504984.979648,NA,0
Nicaragua,NIC,2024,19693982967.5926,10.604051488371704,4.62473841057143,-44.86258133058785,NA,NA,NA,NA,NA,0
Netherlands,NLD,2019,928903005576.469,-0.08933679718303646,2.63369910249596,54.605358136563275,3.379,NA,NA,NA,NA,NA
Netherlands,NLD,2020,932560861701.17,0.39378235431922376,1.27246037789166,-51.685430705210486,3.82,355.999,355.999,NA,1.658,644.47769265
Netherlands,NLD,2021,1054472123449.6,13.07274053149093,2.67572008805385,110.27924598227972,4.209,907.221,1263.22,1524781.28182,1.896,526.1828866
Netherlands,NLD,2022,1046540797548.64,-0.7521607944469335,10.0012078753473,273.77631240275014,3.526,490.173,1753.393,683286.069945,0.17,112.5978885
Netherlands,NLD,2023,1154361305398.06,10.30256136234468,3.8383935434281,-61.620700306713616,3.535,NA,NA,11913.14472989,NA,0.5585213
Netherlands,NLD,2024,1227543925316.41,6.339663290525334,3.3475430421995,-12.787914935637826,3.639,NA,NA,NA,NA,0
Norway,NOR,2019,408742840909.091,-7.059251455700865,2.16773003305404,-21.596301461623533,3.684,NA,NA,NA,NA,NA
Norway,NOR,2020,367633418886.627,-10.05752710702698,1.28658490707998,-40.648287034739525,4.424,506.594,506.594,203.50769307,1.18,79.9003646
Norway,NOR,2021,503367986030.268,36.92117206175416,3.48388055266683,170.78512529529124,4.359,1206.654,1713.248,1783245.040672,1.666,175.56089513
Norway,NOR,2022,596297651035.798,18.46157633869509,5.76412317852275,65.45122863384184,3.231,351.257,2064.505,460137.927363,0.2,630.7730775
Norway,NOR,2023,482949731776.587,-19.00861408095775,5.51784987104656,-4.272519858593751,3.574,NA,NA,141359.09088,NA,164.19891594
Norway,NOR,2024,483727398216.364,0.16102430307110882,3.14530134431072,-42.997699868297495,3.982,NA,NA,NA,NA,0
Nepal,NPL,2019,34186180699.0255,3.2455631511375045,5.56868547784929,37.1204491544141,NA,NA,NA,NA,NA,NA
Nepal,NPL,2020,33433659301.2466,-2.2012444279870995,5.05236655289212,-9.27182774123168,NA,64.341,64.341,NA,1.514,92.813716448
Nepal,NPL,2021,36924841394.2605,10.442117811745858,4.14968003360264,-17.866607852764687,NA,124.55,188.891,800864.276386,1.551,297.353881014
Nepal,NPL,2022,41182939600.6209,11.531798230072486,7.6507917679853,84.37064318289355,NA,43.14,232.031,1232181.11508,1.047,14.302331246
